data_ok,datetime,person,plant,current_treatment,psi_mPa,side_of_greenhouse,diameter_at_base_mm,percent_dead,notes
yes,12/10/2019 18:00:00,clay,d9,dry,1.83,south,,5,LEDs turned off today at 16:50 and remained off when cutting leaves for pressure bomb. Sky completely dark; only light is some ambient light coming from adjacent CSU greenhouses. NOTE: I forgot my headlamp so had to use ceiling lights when processing leaves before measurements in pressure bomb. I did NOT need a headlamp to harvest leaves since there was sufficient ambient light in greenhouse.
yes,12/11/2019 06:20:00,clay,w27,dry_virgin,0.6,north,,<5,"harvested from “treated” plant (on scale). Note: Individaul times that leaves were collected recorded in notebook but not in this spreadsheet (start time = 6:20, end time = 6:33). NOTE, LEDs remained off since 16:50 the previous day, and the sun had not yet risen so it was dark (excluding ambient light from adjacent greenhouse). LEDs turned back on afterwards, at 07:14."
yes,12/11/2019 06:20:00,clay,m7,wet,0.57,north,,10,"harvested from “treated” plant (on scale). Note: Individaul times that leaves were collected recorded in notebook but not in this spreadsheet (start time = 6:20, end time = 6:33). NOTE, LEDs remained off since 16:50 the previous day, and the sun had not yet risen so it was dark (excluding ambient light from adjacent greenhouse). LEDs turned back on afterwards, at 07:14."
yes,12/11/2019 06:20:00,clay,d11,dry,0.71,north,,<5,"harvested from “treated” plant (on scale). Note: Individaul times that leaves were collected recorded in notebook but not in this spreadsheet (start time = 6:20, end time = 6:33). NOTE, LEDs remained off since 16:50 the previous day, and the sun had not yet risen so it was dark (excluding ambient light from adjacent greenhouse). LEDs turned back on afterwards, at 07:14."
yes,12/11/2019 06:20:00,clay,w26,dry_virgin,0.7,south,,<5,"harvested from “treated” plant (on scale). Note: Individaul times that leaves were collected recorded in notebook but not in this spreadsheet (start time = 6:20, end time = 6:33). NOTE, LEDs remained off since 16:50 the previous day, and the sun had not yet risen so it was dark (excluding ambient light from adjacent greenhouse). LEDs turned back on afterwards, at 07:14."
yes,12/11/2019 06:20:00,clay,w25,dry_virgin,0.68,south,,10,"harvested from “treated” plant (on scale). Note: Individaul times that leaves were collected recorded in notebook but not in this spreadsheet (start time = 6:20, end time = 6:33). NOTE, LEDs remained off since 16:50 the previous day, and the sun had not yet risen so it was dark (excluding ambient light from adjacent greenhouse). LEDs turned back on afterwards, at 07:14."
yes,12/11/2019 06:20:00,clay,m11,wet,0.2,north,,<5,"harvested from “treated” plant (on scale). Note: Individaul times that leaves were collected recorded in notebook but not in this spreadsheet (start time = 6:20, end time = 6:33). NOTE, LEDs remained off since 16:50 the previous day, and the sun had not yet risen so it was dark (excluding ambient light from adjacent greenhouse). LEDs turned back on afterwards, at 07:14."
yes,12/11/2019 06:20:00,clay,d7,dry,0.84,north,,<5,"harvested from “treated” plant (on scale). Note: Individaul times that leaves were collected recorded in notebook but not in this spreadsheet (start time = 6:20, end time = 6:33). NOTE, LEDs remained off since 16:50 the previous day, and the sun had not yet risen so it was dark (excluding ambient light from adjacent greenhouse). LEDs turned back on afterwards, at 07:14."
yes,12/11/2019 06:20:00,clay,m6,wet,0.25,south,,<5,"harvested from “treated” plant (on scale). Note: Individaul times that leaves were collected recorded in notebook but not in this spreadsheet (start time = 6:20, end time = 6:33). NOTE, LEDs remained off since 16:50 the previous day, and the sun had not yet risen so it was dark (excluding ambient light from adjacent greenhouse). LEDs turned back on afterwards, at 07:14."
yes,12/11/2019 06:20:00,clay,d6,dry,0.79,south,,5,"harvested from “treated” plant (on scale). Note: Individaul times that leaves were collected recorded in notebook but not in this spreadsheet (start time = 6:20, end time = 6:33). NOTE, LEDs remained off since 16:50 the previous day, and the sun had not yet risen so it was dark (excluding ambient light from adjacent greenhouse). LEDs turned back on afterwards, at 07:14."
yes,12/11/2019 10:09:00,clay,w25,dry_virgin,1.41,south,,<5,harvested from “treated” plant (on scale).
yes,12/11/2019 10:09:00,clay,d10,dry,1.5,south,,10,harvested from “treated” plant (on scale).
yes,12/11/2019 10:09:00,clay,w26,dry_virgin,1.52,south,,<5,harvested from “treated” plant (on scale).
yes,12/11/2019 10:09:00,clay,m11,wet,0.84,north,,<5,harvested from “treated” plant (on scale).
yes,12/11/2019 10:09:00,clay,m10,wet,1.09,south,,<5,harvested from “treated” plant (on scale).
yes,12/11/2019 10:09:00,clay,d6,dry,1.62,south,,10,harvested from “treated” plant (on scale).
yes,12/11/2019 10:09:00,clay,d11,dry,1.69,north,,<5,harvested from “treated” plant (on scale).
yes,12/11/2019 10:09:00,clay,w28,dry_virgin,1.4,north,,<5,harvested from “treated” plant (on scale).
yes,12/11/2019 10:09:00,clay,m7,wet,0.92,north,,<5,harvested from “treated” plant (on scale).
yes,12/12/2019 09:38:00,clay,w25,dry_virgin,1.05,south,,<5,"harvested from “treated” plant (on scale). Note: Individaul times that leaves were collected recorded in biomass spreadsheet but not in this spreadsheet (start time = 9:38, end time = 10:07)"
yes,12/12/2019 09:38:00,clay,m7,wet,0.75,north,,<5,"harvested from “treated” plant (on scale). Note: Individaul times that leaves were collected recorded in biomass spreadsheet but not in this spreadsheet (start time = 9:38, end time = 10:07)"
yes,12/12/2019 09:38:00,clay,m11,wet,0.61,north,,<5,"harvested from “treated” plant (on scale). Note: Individaul times that leaves were collected recorded in biomass spreadsheet but not in this spreadsheet (start time = 9:38, end time = 10:07)"
yes,12/12/2019 09:38:00,clay,d6,dry,1.13,south,,10,"harvested from “treated” plant (on scale). Note: Individaul times that leaves were collected recorded in biomass spreadsheet but not in this spreadsheet (start time = 9:38, end time = 10:07)"
yes,12/12/2019 09:38:00,clay,d7,dry,1.37,north,,5,"harvested from “treated” plant (on scale). Note: Individaul times that leaves were collected recorded in biomass spreadsheet but not in this spreadsheet (start time = 9:38, end time = 10:07)"
yes,12/12/2019 09:38:00,clay,w26,dry_virgin,1.2,south,,<5,"harvested from “treated” plant (on scale). Note: Individaul times that leaves were collected recorded in biomass spreadsheet but not in this spreadsheet (start time = 9:38, end time = 10:07)"
yes,12/12/2019 09:38:00,clay,d11,dry,1.48,north,,<5,"harvested from “treated” plant (on scale). Note: Individaul times that leaves were collected recorded in biomass spreadsheet but not in this spreadsheet (start time = 9:38, end time = 10:07)"
yes,12/12/2019 09:38:00,clay,w28,dry_virgin,1.11,north,,<5,"harvested from “treated” plant (on scale). Note: Individaul times that leaves were collected recorded in biomass spreadsheet but not in this spreadsheet (start time = 9:38, end time = 10:07)"
yes,12/12/2019 09:38:00,clay,m7,wet,0.6,north,,<5,"harvested from “treated” plant (on scale). Note: Individaul times that leaves were collected recorded in biomass spreadsheet but not in this spreadsheet (start time = 9:38, end time = 10:07)"
