treatment: wet (baseline)
timestamp, Vin, d6_bottom, d6_top, d7_bottom, d7_top, d10_bottom, d10_top, d11_bottom, d11_top
2019/10/24 15:45:19,4.924,26.673,26.276,26.087,24.749,25.733,25.957,26.150,24.994
2019/10/24 15:45:49,4.924,26.749,26.331,26.053,24.786,25.997,26.053,26.176,24.999
2019/10/24 15:46:19,4.924,26.807,26.438,26.119,25.148,25.968,25.610,26.192,24.672
2019/10/24 15:46:50,4.924,26.772,26.445,26.052,25.012,25.870,25.554,26.069,24.700
2019/10/24 15:47:20,4.924,26.640,26.299,26.008,24.856,25.741,25.896,26.039,24.992
2019/10/24 15:47:50,4.924,26.686,26.380,25.931,24.821,26.078,26.078,26.145,25.087
2019/10/24 15:48:20,4.924,26.640,26.289,25.910,24.852,25.934,26.131,26.039,25.080
2019/10/24 15:48:51,4.924,26.459,26.112,25.834,24.903,25.575,25.778,25.926,24.875
2019/10/24 15:49:21,4.924,26.506,26.124,25.748,24.929,26.004,25.745,26.029,24.789
2019/10/24 15:49:51,4.924,26.426,26.068,25.822,24.678,25.896,25.917,25.983,25.108
2019/10/24 15:50:21,4.924,26.412,26.036,25.727,24.709,25.976,25.685,25.934,24.681
2019/10/24 15:50:52,4.924,26.387,26.008,25.706,24.828,25.892,25.321,25.990,24.772
2019/10/24 15:51:22,4.924,26.320,25.938,25.780,24.552,25.451,25.153,25.885,24.845
2019/10/24 15:51:52,4.924,26.315,25.841,25.645,24.550,25.894,25.218,25.877,24.802
2019/10/24 15:52:22,4.924,26.113,25.671,25.437,24.426,25.703,24.964,25.671,24.552
2019/10/24 15:52:53,4.924,26.089,25.566,25.391,24.506,25.437,24.800,25.598,24.276
2019/10/24 15:53:23,4.924,26.087,25.498,25.330,24.456,25.628,25.075,25.621,24.421
2019/10/24 15:53:53,4.924,26.122,25.547,25.460,24.585,25.638,25.117,25.708,24.393
2019/10/24 15:54:23,4.924,26.261,25.738,25.472,24.615,25.668,25.675,25.689,24.817
2019/10/24 15:54:54,4.924,26.057,25.598,25.398,24.419,25.297,25.486,25.535,24.705
2019/10/24 15:55:24,4.924,26.003,25.509,25.316,24.347,25.568,25.208,25.537,24.578
2019/10/24 15:55:54,4.924,25.912,25.418,25.309,24.428,25.285,24.739,25.502,24.253
2019/10/24 15:56:24,4.924,26.076,25.561,25.365,24.459,25.197,24.826,25.474,24.351
2019/10/24 15:56:55,4.926,26.093,25.603,25.393,24.211,25.480,25.197,25.631,24.624
2019/10/24 15:57:25,4.924,26.097,25.607,25.369,24.141,25.414,25.173,25.603,24.592
2019/10/24 15:57:55,4.924,26.090,25.586,25.400,24.547,25.533,25.012,25.673,24.396
