treatment: dry
timestamp, Vin, w6_bottom, w6_top, w7_bottom, w7_top, w10_bottom, w10_top, w11_bottom, w11_top
2019/11/26 13:54:25,4.507,23.104,22.959,22.315,22.597,21.949,22.421,22.543,23.687
2019/11/26 13:55:25,4.516,24.740,24.637,23.673,24.077,23.239,23.768,23.685,25.235
2019/11/26 13:56:25,4.521,25.855,25.676,24.658,25.191,24.213,24.825,24.703,26.080
2019/11/26 13:57:25,4.520,26.432,26.244,25.790,25.816,24.646,25.313,25.252,26.662
2019/11/26 13:58:26,4.495,25.086,25.408,24.190,24.282,23.108,23.731,24.190,25.090
2019/11/26 13:59:26,4.498,22.989,22.622,23.295,23.264,22.210,22.695,23.688,24.070
2019/11/26 14:0:26,4.497,23.689,23.704,23.819,23.441,22.623,23.074,23.532,24.465
2019/11/26 14:1:26,4.485,25.085,24.778,24.625,24.367,23.501,23.996,24.091,25.477
2019/11/26 14:2:27,4.502,25.825,25.775,25.534,25.335,24.256,24.872,25.010,26.247
2019/11/26 14:3:27,4.496,26.059,26.159,25.717,25.602,24.453,25.062,25.253,26.574
2019/11/26 14:4:27,4.496,25.606,25.721,25.223,25.158,24.304,24.151,24.220,25.146
2019/11/26 14:5:27,4.494,22.533,22.376,22.028,22.506,21.603,21.814,22.403,23.041
2019/11/26 14:6:28,4.498,23.490,23.486,23.092,22.962,22.267,22.722,22.997,24.147
2019/11/26 14:7:28,4.495,25.368,24.812,24.502,24.426,23.515,24.299,24.077,25.598
2019/11/26 14:8:28,4.499,26.269,25.908,25.202,25.528,24.387,25.241,24.976,26.511
2019/11/26 14:9:28,4.503,26.659,26.482,25.646,25.979,24.823,25.711,25.470,26.813
2019/11/26 14:10:29,4.500,26.141,26.356,25.243,25.807,24.738,25.630,25.435,26.068
2019/11/26 14:11:29,4.495,22.751,23.469,21.822,22.904,21.925,22.212,22.824,23.343
2019/11/26 14:12:29,4.497,21.343,21.568,20.478,21.021,20.574,20.826,20.991,21.752
2019/11/26 14:13:29,4.494,23.883,23.435,22.694,22.912,22.361,23.065,22.583,24.227
2019/11/26 14:14:29,4.497,25.414,24.858,24.124,24.456,23.543,24.422,23.887,25.613
2019/11/26 14:15:30,4.491,26.407,25.803,24.916,25.457,24.330,25.261,24.751,26.537
2019/11/26 14:16:30,4.494,26.360,26.267,26.148,25.833,24.652,25.399,25.012,26.525
2019/11/26 14:17:30,4.560,23.892,23.640,25.228,24.107,22.875,23.990,24.224,24.805
2019/11/26 14:18:30,4.494,20.879,20.925,22.990,21.323,20.270,20.948,21.820,22.088
2019/11/26 14:19:31,4.488,22.008,21.533,24.102,21.763,20.970,21.552,21.797,22.747
2019/11/26 14:20:31,4.485,24.088,23.363,25.366,23.244,22.524,23.237,22.838,24.509
2019/11/26 14:21:31,4.491,25.361,24.828,26.526,24.613,23.591,24.379,23.935,25.722
2019/11/26 14:22:31,4.480,25.909,25.362,26.994,25.166,23.963,24.816,24.428,26.094
2019/11/26 14:23:32,4.545,26.025,25.839,27.354,25.330,24.319,25.000,24.652,26.238
2019/11/26 14:24:32,4.488,23.018,23.424,24.451,22.991,22.030,22.471,22.704,23.719
2019/11/26 14:25:32,4.478,22.179,22.225,23.694,21.691,21.089,21.400,21.569,22.685
2019/11/26 14:26:32,4.473,24.144,23.655,25.429,23.433,22.749,23.352,22.829,24.767
2019/11/26 14:27:33,4.477,25.319,24.796,26.329,24.492,23.578,24.177,23.766,25.766
2019/11/26 14:28:33,4.480,25.899,25.418,26.876,25.098,24.042,24.725,24.345,26.254
2019/11/26 14:29:33,4.494,25.672,25.043,26.349,24.626,23.619,24.140,23.975,25.665
2019/11/26 14:30:33,4.484,22.694,22.755,23.936,22.644,21.878,22.353,22.407,23.564
2019/11/26 14:31:33,4.479,21.369,21.369,23.445,21.327,20.593,21.116,21.530,22.593
2019/11/26 14:32:34,4.471,23.753,23.184,25.004,22.892,22.285,22.992,22.554,24.480
2019/11/26 14:33:34,4.473,25.058,24.561,26.122,24.238,23.347,24.050,23.612,25.597
2019/11/26 14:34:34,4.484,25.661,25.350,26.767,24.977,23.884,24.601,24.290,26.154
2019/11/26 14:35:34,4.481,25.915,25.753,27.077,24.730,23.632,24.254,24.020,25.799
2019/11/26 14:36:35,4.479,24.625,24.779,26.180,24.502,23.600,23.937,23.987,25.209
2019/11/26 14:37:35,4.471,21.131,21.031,22.234,20.742,20.076,19.894,20.415,21.173
2019/11/26 14:38:35,4.481,22.753,22.289,24.183,21.921,21.418,21.821,21.495,23.305
2019/11/26 14:39:35,4.492,24.564,23.971,25.826,23.611,22.964,23.584,23.048,25.016
2019/11/26 14:40:36,4.494,25.643,25.075,25.954,24.773,23.839,24.531,24.007,26.031
2019/11/26 14:41:36,4.494,26.126,25.645,26.256,25.388,24.270,24.293,23.933,25.837
2019/11/26 14:42:36,4.491,25.652,25.576,26.006,25.242,24.138,24.743,24.379,26.098
2019/11/26 14:43:36,4.499,22.280,23.044,23.071,22.307,21.661,21.994,22.005,23.010
2019/11/26 14:44:36,4.498,21.563,21.682,22.262,21.315,20.450,21.039,21.100,22.270
2019/11/26 14:45:37,4.495,23.778,23.216,23.966,22.899,22.157,22.865,22.383,24.172
2019/11/26 14:46:37,4.494,25.200,24.445,25.158,24.300,23.305,24.062,23.584,25.269
2019/11/26 14:47:37,4.496,25.721,25.207,25.733,24.966,23.856,24.537,24.143,25.269
2019/11/26 14:48:37,4.494,26.074,25.594,26.143,25.390,24.283,24.873,24.532,26.054
2019/11/26 14:49:38,4.496,25.073,25.395,25.549,24.978,23.925,24.277,24.308,25.810
2019/11/26 14:50:38,4.493,22.240,22.126,22.248,21.877,20.955,21.173,21.288,22.194
2019/11/26 14:51:38,4.495,22.341,22.227,23.071,21.982,21.363,21.634,21.653,22.899
2019/11/26 14:52:38,4.496,24.004,23.579,24.375,23.411,22.689,23.071,22.766,24.463
2019/11/26 14:53:39,4.493,25.309,24.711,25.420,24.573,23.632,24.183,23.815,25.470
2019/11/26 14:54:39,4.551,25.754,25.435,25.765,25.117,24.070,24.679,24.346,25.932
2019/11/26 14:55:39,4.490,26.108,25.915,26.242,25.531,24.361,24.944,24.679,26.127
2019/11/26 14:56:39,4.495,25.247,25.826,25.634,25.143,24.320,24.530,24.469,25.711
2019/11/26 14:57:39,4.498,21.729,22.245,22.348,21.756,21.068,21.159,21.465,22.272
2019/11/26 14:58:40,4.494,23.741,23.688,24.070,23.133,22.441,22.862,22.522,24.181
2019/11/26 14:59:40,4.495,25.072,25.095,25.218,24.528,23.602,24.153,23.686,25.552
2019/11/26 15:0:40,4.487,24.949,25.383,25.233,24.561,23.492,23.998,23.711,25.383
2019/11/26 15:1:40,4.487,26.497,26.632,26.451,25.796,24.679,25.466,24.986,26.563
2019/11/26 15:2:41,4.492,26.295,26.711,26.476,25.799,24.706,25.250,24.909,26.407
2019/11/26 15:3:41,4.496,22.826,24.244,23.907,23.468,22.558,22.937,23.227,24.152
2019/11/26 15:4:41,4.485,23.149,23.797,23.977,22.981,22.172,22.682,22.636,23.881
2019/11/26 15:5:41,4.479,24.961,25.126,25.241,24.307,23.352,24.115,23.566,25.157
2019/11/26 15:6:42,4.518,25.880,26.052,26.063,24.514,23.494,24.217,23.711,25.399
treatment: dry
timestamp, Vin, w6_bottom, w6_top, w7_bottom, w7_top, w10_bottom, w10_top, w11_bottom, w11_top
2019/11/26 15:6:58,4.478,26.023,26.204,24.821,25.364,24.302,24.956,24.510,26.204
2019/11/26 15:7:58,4.499,26.240,26.467,25.139,25.603,24.504,25.235,24.845,26.232
2019/11/26 15:8:58,4.465,26.018,26.646,25.138,25.566,24.509,24.879,24.721,26.115
2019/11/26 15:9:58,4.496,22.782,24.024,21.999,22.920,22.136,22.346,22.602,23.348
2019/11/26 15:10:59,4.509,22.508,22.409,21.548,21.613,20.995,21.365,21.388,22.333
2019/11/26 15:11:59,4.510,24.362,24.320,23.469,23.660,22.860,23.534,23.123,24.560
2019/11/26 15:12:59,4.510,24.929,24.994,24.025,24.410,23.514,23.979,23.701,25.089
2019/11/26 15:13:59,4.515,25.462,25.523,24.531,25.008,23.948,24.516,24.276,25.630
2019/11/26 15:15:0,4.514,26.043,25.952,24.932,25.493,24.417,24.974,24.684,26.124
2019/11/26 15:16:0,4.515,26.280,26.241,25.187,25.775,24.710,25.240,24.965,26.310
2019/11/26 15:17:0,4.522,26.163,26.194,25.259,25.072,24.082,24.562,24.436,25.609
2019/11/26 15:18:0,4.521,21.596,22.398,21.820,22.280,21.060,21.942,22.466,22.809
2019/11/26 15:19:0,4.523,23.372,23.098,22.657,22.828,21.962,22.646,22.608,23.653
2019/11/26 15:20:1,4.524,24.507,24.226,23.690,24.032,23.078,23.621,23.473,24.758
2019/11/26 15:21:1,4.523,25.406,24.945,24.279,24.736,23.739,24.332,24.104,25.421
2019/11/26 15:22:1,4.524,25.873,25.529,24.703,25.278,24.182,24.768,24.604,25.838
2019/11/26 15:23:1,4.528,25.879,25.715,24.798,25.372,24.311,24.859,24.030,25.201
2019/11/26 15:24:2,4.529,25.166,25.409,24.242,24.907,24.105,24.356,24.307,25.223
2019/11/26 15:25:2,4.528,21.963,21.728,21.656,22.176,20.976,21.618,22.244,22.422
