"by15","par1_n","par2_s","pyr1_n","pyr2_s","am2320_high_temp","am2320_high_rh","sht2_low_temp","sht2_low_rh","bmp_box_temp","bmp_box_atm_p","soil_t1","soil_t2","soil_t3","soil_t4"
2019-08-29 18:15:00,-11.5106666666667,33.8476666666667,-1.14633333333333,-3.85466666666667,26.88,28.34,27.2416666666667,34.1773333333333,30.019,85032.4223333333,34.5433333333333,34.246,35.265,33.841
2019-08-29 18:30:00,21.3251724137931,-3.21689655172414,-6.03551724137931,-11.1544827586207,26.151724137931,29.9827586206897,25.9044827586207,37.2434482758621,29.1168965517241,85042.8603448276,34.2496551724138,34.0765517241379,34.8310344827586,33.6086206896552
2019-08-29 18:45:00,-94.9456666666667,18.2386666666667,-14.4803333333333,-12.292,24.98,32.54,24.989,39.509,28.3573333333333,85052.689,33.955,33.866,34.353,33.3013333333333
2019-08-29 19:00:00,-9.15,-13.3003448275862,-14.9255172413793,-14.6558620689655,25.1172413793103,33.0034482758621,24.7358620689655,40.51,27.778275862069,85060.0334482759,33.6386206896552,33.6258620689655,34.0041379310345,33.0148275862069
2019-08-29 19:15:00,23.476,-29.3623333333333,-13.958,-16.458,24.09,34.8966666666667,24.3016666666667,41.9433333333333,27.4483333333333,85089.2696666667,33.2893333333333,33.349,33.686,32.7666666666667
2019-08-29 19:30:00,-14.4641379310345,-13.1765517241379,-15.3551724137931,-15.1941379310345,24.0206896551724,36.1586206896552,23.901724137931,43.4486206896552,27.1268965517241,85109.6020689655,32.9486206896552,33.0620689655172,33.3803448275862,32.4686206896552
2019-08-29 19:45:00,8.454,-19.256,-14.9483333333333,-15.469,23.8733333333333,36.6533333333333,23.5236666666667,44.8986666666667,26.6743333333333,85130.006,32.607,32.7346666666667,33.0886666666667,32.1696666666667
2019-08-29 20:00:00,103.264827586207,-54.5624137931034,-11.6937931034483,-17.8334482758621,23.6068965517241,37.9896551724138,23.3210344827586,46.1648275862069,26.2493103448276,85158.8437931034,32.2779310344828,32.4103448275862,32.7903448275862,31.8762068965517
2019-08-29 20:15:00,-18.5993333333333,-16.9236666666667,-13.959,-16.4586666666667,23.4766666666667,38.1333333333333,23.1813333333333,46.4196666666667,26.065,85185.466,31.951,32.0826666666667,32.504,31.5973333333333
2019-08-29 20:30:00,-57.1158620689655,-3.46344827586207,-15.1941379310345,-15.1403448275862,22.2206896551724,40.5655172413793,22.4410344827586,48.2962068965517,25.6013793103448,85206.5162068966,31.6072413793103,31.7610344827586,32.1948275862069,31.2944827586207
2019-08-29 20:45:00,-50.0093333333333,-1.19633333333333,-15.7806666666667,-14.5326666666667,21.6466666666667,42.42,22.665,47.9286666666667,25.469,85209.5323333333,31.2523333333333,31.436,31.88,30.9916666666667
2019-08-29 21:00:00,47.4951724137931,-32.168275862069,-14.1720689655172,-16.001724137931,21.6379310344828,42.4034482758621,22.3751724137931,48.2820689655172,25.3444827586207,85214.1696551724,30.9124137931034,31.1027586206897,31.5768965517241,30.6989655172414
2019-08-29 21:15:00,-44.0913333333333,-4.84366666666667,-15.3653333333333,-14.636,21.1333333333333,43.0666666666667,21.7106666666667,49.9306666666667,24.901,85230.163,30.589,30.761,31.2863333333333,30.436
2019-08-29 21:30:00,-64.5148275862069,3.52620689655172,-16.2165517241379,-14.5486206896552,20.8206896551724,44.5862068965517,21.4803448275862,50.7593103448276,24.6951724137931,85234.7806896552,30.2544827586207,30.431724137931,30.9962068965517,30.1262068965517
2019-08-29 21:45:00,24.6889655172414,-20.9713793103448,-14.6013793103448,-14.871724137931,21.1689655172414,43.8931034482759,20.84,52.838275862069,24.0279310344828,85243.3434482759,29.9251724137931,30.1024137931034,30.7141379310345,29.8268965517241
2019-08-29 22:00:00,-53.0003333333333,-0.598333333333334,-15.9893333333333,-15.105,20.9933333333333,44.3766666666667,20.553,53.9606666666667,23.4356666666667,85243.6483333333,29.574,29.7736666666667,30.4133333333333,29.5213333333333
2019-08-29 22:15:00,1.61517241379311,-25.7972413793103,-13.1475862068966,-16.8103448275862,20.1310344827586,47.0931034482759,20.1548275862069,55.6855172413793,23.1431034482759,85238.2265517241,29.2027586206897,29.4531034482759,30.0879310344828,29.2479310344828
2019-08-29 22:30:00,-18.533,-11.4813333333333,-14.896,-14.6356666666667,19.7,49.6933333333333,19.7603333333333,57.303,23.0136666666667,85227.2193333333,28.8473333333333,29.1466666666667,29.744,28.9176666666667
2019-08-29 22:45:00,-6.32310344827586,-12.3110344827586,-15.2489655172414,-14.4406896551724,19.8586206896552,49,19.5903448275862,57.7968965517241,22.7772413793103,85218.6524137931,28.5155172413793,28.8165517241379,29.4206896551724,28.6086206896552
2019-08-29 23:00:00,-39.0176666666667,-4.30633333333333,-15.7283333333333,-14.2196666666667,19.38,50.5066666666667,19.384,58.6753333333333,22.53,85207.5706666667,28.1633333333333,28.4873333333333,29.1053333333333,28.2883333333333
2019-08-29 23:15:00,-5.44931034482759,-12.7441379310345,-15.1396551724138,-15.14,18.8068965517241,53.2068965517241,19.3486206896552,59.1803448275862,22.5065517241379,85209.4479310345,27.8310344827586,28.1644827586207,28.7879310344828,28.0003448275862
2019-08-29 23:30:00,-66.5263333333333,1.55366666666667,-15.729,-14.6886666666667,19.0233333333333,53.2133333333333,19.003,60.308,22.484,85217.29,27.5173333333333,27.8433333333333,28.4813333333333,27.6796666666667
2019-08-29 23:45:00,-128.558620689655,17.1986206896552,-15.9486206896552,-15.4641379310345,19.4241379310345,51.6137931034483,19.2234482758621,59.6824137931034,22.5820689655172,85224.5148275862,27.2227586206897,27.5110344827586,28.1865517241379,27.3651724137931
2019-08-30 00:00:00,86.752,-47.0623333333333,-12.7616666666667,-17.1346666666667,19.3066666666667,52.0933333333333,19.497,59.1743333333333,22.7633333333333,85230.5466666667,26.9466666666667,27.2006666666667,27.913,27.0556666666667
