"volumetric_water_content","pressure_potential_kPa"
0.248,-205.094554342062
0.249,-200.930283652855
0.25,-196.868171570577
0.251,-192.905201826019
0.252,-189.038358149972
0.253,-185.264624273226
0.254,-181.580983926572
0.255,-177.984420840801
0.256,-174.472876907339
0.257,-171.11681383355
0.258,-167.935107569701
0.259,-164.890714523117
0.26,-161.946591101125
0.261,-159.065693711051
0.262,-156.210978760222
0.263,-153.345402655962
0.264,-150.432410254328
0.265,-147.54949217398
0.266,-144.75421736809
0.267,-142.019352796197
0.268,-139.317665417837
0.269,-136.621922192547
0.27,-133.904890079865
0.271,-131.139336039327
0.272,-128.298027030471
0.273,-125.441385075468
0.274,-122.634088642848
0.275,-119.855289361686
0.276,-117.084138861057
0.277,-114.299788770036
0.278,-111.481151630635
0.279,-108.564217395049
0.28,-105.539689145635
0.281,-102.449524797074
0.282,-99.3356822640505
0.283,-96.2401194612458
0.284,-93.1973249483678
0.285,-90.1918616021866
0.286,-87.2164702905423
0.287,-84.2681090426248
0.288,-81.3437358876242
0.289,-78.4403088547308
0.29,-75.5549388605227
0.291,-72.6789092497267
0.292,-69.7574120606951
0.293,-66.6993982384209
0.294,-63.4232463829812
0.295,-60.0697664302246
0.296,-56.8002328567221
0.297,-53.7759201390451
0.298,-51.1012211221478
0.299,-48.5800328119321
0.3,-46.0056818693547
0.301,-43.4769233543838
0.302,-41.024539526504
0.303,-38.6701830684271
0.304,-36.435506662865
0.305,-34.3412783763161
0.306,-32.3702833065679
0.307,-30.462784444291
0.308,-28.5229563270347
0.309,-26.4646094347587
0.31,-24.518609816725
0.311,-22.8889800739304
0.312,-21.4586222269132
0.313,-20.1738738782347
0.314,-19.0053004003741
0.315,-18.012022928008
0.316,-17.1815970265799
0.317,-16.4302234761375
0.318,-15.6835060212622
0.319,-15.0290919961238
0.32,-14.4559048119929
0.321,-13.8916907031206
0.322,-13.2740441275823
0.323,-12.638927167347
0.324,-12.011440681802
0.325,-11.4039634163998
0.326,-10.8288741165928
0.327,-10.2971057153296
0.328,-9.79567088963404
0.329,-9.32074861851769
0.33,-8.87564891358149
0.331,-8.46525006028706
0.332,-8.09981927699922
0.333,-7.77112432861596
0.334,-7.46761599298227
0.335,-7.17774504794313
0.336,-6.89226848003622
0.337,-6.63279351640183
0.338,-6.40083387047229
0.339,-6.18771047535061
0.34,-5.98474426413979
0.341,-5.78325616994284
0.342,-5.57595515381875
0.343,-5.37268099239048
0.344,-5.17782672462733
0.345,-4.99203489075823
0.346,-4.81591579903366
0.347,-4.64603892579646
0.348,-4.48218058816045
0.349,-4.32780124542402
0.35,-4.18636135688554
0.351,-4.06132138184342
0.352,-3.95604000473829
0.353,-3.86923902671764
0.354,-3.79735985639749
0.355,-3.736843795792
0.356,-3.68413214691534
0.357,-3.63566621178169
0.358,-3.58788729240522
0.359,-3.5372366908001
0.36,-3.4801557089805
0.361,-3.4166539055754
0.362,-3.35596037839018
0.363,-3.29817860280673
0.364,-3.24259811557211
0.365,-3.18850845343339
0.366,-3.13556056443533
0.367,-3.0849294540205
0.368,-3.03664776517954
0.369,-2.99055955072668
0.37,-2.94650886347615
0.371,-2.90433975624218
0.372,-2.863896281839
0.373,-2.82502249308083
0.374,-2.78801686750326
0.375,-2.75490041589822
0.376,-2.72526539066221
0.377,-2.69832339968873
0.378,-2.67328605087132
0.379,-2.64936495210349
0.38,-2.62577171127876
0.381,-2.60171793629066
0.382,-2.5764229602496
0.383,-2.55100187848122
0.384,-2.52657546887432
0.385,-2.50299282297466
0.386,-2.48010303232795
0.387,-2.45775518847994
0.388,-2.43579838297636
0.389,-2.41408170736294
0.39,-2.39245492656345
0.391,-2.37123488899682
0.392,-2.350726978227
0.393,-2.33086112969561
0.394,-2.31156727884425
0.395,-2.29277536111453
0.396,-2.27441531194805
0.397,-2.25641706678643
0.398,-2.23871056107127
0.399,-2.22122573024417
0.4,-2.20389250974676
0.401,-2.18664083502062
0.402,-2.16951233014084
0.403,-2.15286052366487
0.404,-2.13664867503548
0.405,-2.12079787495627
0.406,-2.10522921413082
0.407,-2.08986378326271
0.408,-2.07462267305554
0.409,-2.0594270378932
0.41,-2.04437470063426
0.411,-2.02959433930632
0.412,-2.01507215792774
0.413,-2.0007943605169
0.414,-1.98674715109217
0.415,-1.97291673367192
0.416,-1.95928931227452
0.417,-1.94585109091834
0.418,-1.93258909832483
0.419,-1.91954301096828
0.42,-1.90673526787838
