"by15","wind_speed_m_s","position","treatment","block"
2019-08-25 11:45:00,0.0379285622633028,"bottom","well_watered","W"
2019-08-25 12:00:00,0.0359998234541807,"bottom","well_watered","W"
2019-08-25 12:15:00,0.0385215531551842,"bottom","well_watered","W"
2019-08-25 12:30:00,0.0398524141506032,"bottom","well_watered","W"
2019-08-25 12:45:00,0.0411852437354754,"bottom","well_watered","W"
2019-08-25 13:00:00,0.0407773624225271,"bottom","well_watered","W"
2019-08-25 13:15:00,0.043989524583896,"bottom","well_watered","W"
2019-08-25 13:30:00,0.0295850959247688,"bottom","well_watered","W"
2019-08-25 13:45:00,0.0299966387366907,"bottom","well_watered","W"
2019-08-25 14:00:00,0.0302388264547902,"bottom","well_watered","W"
2019-08-25 14:15:00,0.0257876403817576,"bottom","well_watered","W"
2019-08-25 14:30:00,0.0250722383684152,"bottom","well_watered","W"
2019-08-25 14:45:00,0.0297386242606477,"bottom","well_watered","W"
2019-08-25 15:00:00,0.0309140515469018,"bottom","well_watered","W"
2019-08-25 15:15:00,0.0270581926103189,"bottom","well_watered","W"
2019-08-25 15:30:00,0.0225968088077608,"bottom","well_watered","W"
2019-08-25 15:45:00,0.0244393548331128,"bottom","well_watered","W"
2019-08-25 16:00:00,0.0208427311904386,"bottom","well_watered","W"
2019-08-25 16:15:00,0.0218646180444865,"bottom","well_watered","W"
2019-08-25 16:30:00,0.0182978118716064,"bottom","well_watered","W"
2019-08-25 16:45:00,0.0226388036994242,"bottom","well_watered","W"
2019-08-25 17:00:00,0.0244180836228116,"bottom","well_watered","W"
2019-08-25 17:15:00,0.0186493903292509,"bottom","well_watered","W"
2019-08-25 17:30:00,0.0176726690925097,"bottom","well_watered","W"
2019-08-25 17:45:00,0.0176007006634891,"bottom","well_watered","W"
2019-08-25 18:00:00,0.0155965790340764,"bottom","well_watered","W"
2019-08-25 18:15:00,0.0140896544291844,"bottom","well_watered","W"
2019-08-25 18:30:00,0.0124085763419751,"bottom","well_watered","W"
2019-08-25 18:45:00,0.00843154201311497,"bottom","well_watered","W"
2019-08-25 19:00:00,0.00829428668777748,"bottom","well_watered","W"
2019-08-25 19:15:00,0.00773888197491776,"bottom","well_watered","W"
2019-08-25 19:30:00,0.00948272415095707,"bottom","well_watered","W"
2019-08-25 19:45:00,0.00329119996040588,"bottom","well_watered","W"
2019-08-25 20:00:00,0.00709814628605567,"bottom","well_watered","W"
2019-08-25 20:15:00,0.0142997460477948,"bottom","well_watered","W"
2019-08-25 20:30:00,0.00666460854293316,"bottom","well_watered","W"
2019-08-25 20:45:00,0.0028600932892037,"bottom","well_watered","W"
2019-08-25 21:00:00,0.00150284436480986,"bottom","well_watered","W"
2019-08-25 21:15:00,0.0106798364960808,"bottom","well_watered","W"
2019-08-25 21:30:00,0.0101852064760296,"bottom","well_watered","W"
2019-08-25 21:45:00,0.00818331745288693,"bottom","well_watered","W"
2019-08-25 22:00:00,0.0107520642394435,"bottom","well_watered","W"
2019-08-25 22:15:00,0.0111308313949381,"bottom","well_watered","W"
2019-08-25 22:30:00,0.0110718605947682,"bottom","well_watered","W"
2019-08-25 22:45:00,0.0141273623276646,"bottom","well_watered","W"
2019-08-25 23:00:00,0.0125509262648604,"bottom","well_watered","W"
2019-08-25 23:15:00,0.00605125559808402,"bottom","well_watered","W"
2019-08-25 23:30:00,0.00720065902244007,"bottom","well_watered","W"
2019-08-25 23:45:00,0.00691176011899929,"bottom","well_watered","W"
2019-08-26 00:00:00,0.0104336569990288,"bottom","well_watered","W"
2019-08-26 00:15:00,0.0112940589838505,"bottom","well_watered","W"
